paper_id,title,domain,mode,task_id_or_doc_id,url
paper_arxiv_2210_14128,IELM: An Open Information Extraction Benchmark for Pre-Trained Language Models,scientific-ml,agent_file,6fbc3486-89b4-4f72-9862-8f194574147b10,
paper_arxiv_2301_08773,Laboratory study of the failed torus mechanism in arched line-tied magnetic flux ropes,plasma-physics,agent_file,6c381b48-2513-4100-b70e-7b055872015d10,
paper_luxsit,De novo design of artificial luciferases,protein-engineering,precise,bb6f42b9-f7eb-4322-af3b-717bf05cb642,https://cdn.kesci.com/admin/tcsy5zdaw/Sci-Evo-Sample.pdf
paper_luxsit_sample,De novo design of artificial luciferases from scratch,protein-engineering,agent_file,e165283f-33d6-4a11-8368-eb447ae7ab3d10,
paper_scv_00001e8037,De novo protein backbone generation based on diffusion with structured priors and adversarial training,protein-engineering,sciverse_content_v1,29c5eb0564bb72df07a5c188d3864b4909659a2638c15be7e2680fa6dbc1836a,https://api.sciverse.space/content?doc_id=29c5eb0564bb72df07a5c188d3864b4909659a2638c15be7e2680fa6dbc1836a
paper_scv_0082f071c2,The Emergence of Systematic Review in Toxicology,scientific-ml,sciverse_content_v1,7b18d3df0d32dad12d3724028cde8aad325ab3254a06ef7b9cf13de7cd44635c,https://api.sciverse.space/content?doc_id=7b18d3df0d32dad12d3724028cde8aad325ab3254a06ef7b9cf13de7cd44635c
paper_scv_0134585985,A multi-modal pre-training transformer for universal transfer learning in metal–organic frameworks,materials-science,sciverse_content_v1,d59dadcc83b09371b89d726e2e30567d34ee85cf88cce6a5b2fc7f8043762d54,https://api.sciverse.space/content?doc_id=d59dadcc83b09371b89d726e2e30567d34ee85cf88cce6a5b2fc7f8043762d54
paper_scv_0d785f76c4,Multifunctional Nanocomposites for Energy and Environmental Applications,materials-science,sciverse_content_v1,fe41f7825449ff0b3c9252bebf3ba67a9e5ad7971068f90527140a17ee2d9e4a,https://api.sciverse.space/content?doc_id=fe41f7825449ff0b3c9252bebf3ba67a9e5ad7971068f90527140a17ee2d9e4a
paper_scv_0e41f91ce4,Machine Learning Meets with Metal Organic Frameworks for Gas Storage and Separation,materials-science,sciverse_content_v1,993757349a3443154d0596fdce25ac035c1bfdf37516c76b2873efed4ae040bb,https://api.sciverse.space/content?doc_id=993757349a3443154d0596fdce25ac035c1bfdf37516c76b2873efed4ae040bb
paper_scv_0f129e20bd,Modeling interfaces between solids: Application to Li battery materials,materials-science,sciverse_content_v1,b4fbf0a21e3298bbe873abeab35229d925cc7b7a1fe1f6d33ec1cd1648675f0e,https://api.sciverse.space/content?doc_id=b4fbf0a21e3298bbe873abeab35229d925cc7b7a1fe1f6d33ec1cd1648675f0e
paper_scv_0fb467be9a,Retrieval-Augmented Generation for AI-Generated Content: A Survey,scientific-ml,sciverse_content_v1,ebee70e61cc1b5ce8bcaa15699b00aa4c22f20811751ea2a501d273780f88892,https://api.sciverse.space/content?doc_id=ebee70e61cc1b5ce8bcaa15699b00aa4c22f20811751ea2a501d273780f88892
